"source_id","source_category","source_subtype","source_name","source_description","geometry_type","latitude","longitude","geometry_wkt","road_class","road_ref","road_length_km","area_km2","fuel_or_material","capacity_value","capacity_unit","operator","activity_status","default_include","confidence_tier","officially_listed","data_origin","source_authority","official_reference_url","map_source_url","source_license","osm_type","osm_id","osm_last_edit_utc","inventory_retrieved_utc","rag_claim_scope","notes"
"osm-source-way-189447678","construction","mapped_construction_area","Bharat Vandana Park","OSM-mapped mapped construction area used as source context.","area",28.5711836,77.0590767,"POLYGON((77.0575854 28.5765855, 77.0578811 28.5766609, 77.0628708 28.5733512, 77.0647509 28.5721041, 77.0648961 28.5719678, 77.0649320 28.5717838, 77.0648891 28.5716760, 77.0622346 28.5685908, 77.0598905 28.5658663, 77.0595856 28.5657063, 77.0592634 28.5657301, 77.0571789 28.5671173, 77.0532213 28.5697509, 77.0546420 28.5713223, 77.0536462 28.5719501, 77.0549365 28.5734685, 77.0575854 28.5765855))","","",,0.768335,"",,"","DDA","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/189447678","ODbL 1.0; © OpenStreetMap contributors","way",189447678,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1313204371","construction","mapped_construction_area","Chattarpur Golden Line Metro Station","OSM-mapped mapped construction area used as source context.","area",28.506196,77.1727262,"POLYGON((77.1713207 28.5065260, 77.1722487 28.5061607, 77.1736864 28.5054112, 77.1741317 28.5060641, 77.1731902 28.5064247, 77.1728710 28.5065308, 77.1726967 28.5065308, 77.1715943 28.5069809, 77.1713207 28.5065260))","","",,0.017607,"",,"","Delhi Metro Rail Corporation","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1313204371","ODbL 1.0; © OpenStreetMap contributors","way",1313204371,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1218426668","construction","mapped_construction_area","Common Central Secretariat","OSM-mapped mapped construction area used as source context.","area",28.6154383,77.2217931,"POLYGON((77.2189078 28.6165247, 77.2188080 28.6146074, 77.2203791 28.6145351, 77.2204250 28.6146973, 77.2221012 28.6146313, 77.2220896 28.6144279, 77.2239745 28.6142903, 77.2239678 28.6144060, 77.2241529 28.6144856, 77.2247022 28.6144873, 77.2247783 28.6159889, 77.2245585 28.6162014, 77.2242672 28.6162983, 77.2190298 28.6165863, 77.2189078 28.6165247))","","",,0.121823,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1218426668","ODbL 1.0; © OpenStreetMap contributors","way",1218426668,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1487166544","construction","mapped_construction_area","Faculty of Technology","OSM-mapped mapped construction area used as source context.","area",28.6910765,77.2116238,"POLYGON((77.2113063 28.6917079, 77.2108718 28.6908737, 77.2119413 28.6904451, 77.2123758 28.6912793, 77.2113063 28.6917079))","","",,0.011697,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1487166544","ODbL 1.0; © OpenStreetMap contributors","way",1487166544,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1201558796","construction","mapped_construction_area","GPRA Colony","OSM-mapped mapped construction area used as source context.","area",28.5749323,77.1863794,"POLYGON((77.1892816 28.5792834, 77.1865377 28.5784261, 77.1852690 28.5780186, 77.1849418 28.5776959, 77.1852475 28.5774085, 77.1845636 28.5770105, 77.1837857 28.5770599, 77.1837670 28.5773025, 77.1834558 28.5772955, 77.1831286 28.5754441, 77.1843249 28.5752085, 77.1843570 28.5744877, 77.1831071 28.5735644, 77.1853334 28.5711382, 77.1856424 28.5709444, 77.1873227 28.5707177, 77.1895628 28.5705624, 77.1896517 28.5737999, 77.1882462 28.5738565, 77.1882945 28.5747421, 77.1877098 28.5744689, 77.1874469 28.5755430, 77.1874523 28.5762732, 77.1882462 28.5762921, 77.1881926 28.5777713, 77.1896088 28.5778561, 77.1896383 28.5793023, 77.1892816 28.5792834))","","",,0.394615,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1201558796","ODbL 1.0; © OpenStreetMap contributors","way",1201558796,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1273171314","construction","mapped_construction_area","Kiran Nadar Museum of Art and Cultural Center","OSM-mapped mapped construction area used as source context.","area",28.5318747,77.1070979,"POLYGON((77.1057411 28.5318594, 77.1061566 28.5321212, 77.1067130 28.5323234, 77.1070838 28.5324645, 77.1076881 28.5325125, 77.1084117 28.5320703, 77.1084571 28.5312369, 77.1057388 28.5312669, 77.1057493 28.5317838, 77.1057411 28.5318594))","","",,0.030265,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1273171314","ODbL 1.0; © OpenStreetMap contributors","way",1273171314,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-313544637","construction","mapped_construction_area","Marriot Marquis","OSM-mapped mapped construction area used as source context.","area",28.5496638,77.1214735,"POLYGON((77.1198149 28.5495655, 77.1228698 28.5488713, 77.1231321 28.5497620, 77.1223210 28.5499463, 77.1208635 28.5502775, 77.1200773 28.5504562, 77.1198149 28.5495655))","","",,0.031529,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/313544637","ODbL 1.0; © OpenStreetMap contributors","way",313544637,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1421398322","construction","mapped_construction_area","Nextra Commercial Site","OSM-mapped mapped construction area used as source context.","area",28.6187963,77.2882202,"POLYGON((77.2879905 28.6184611, 77.2886544 28.6187282, 77.2884588 28.6191314, 77.2877861 28.6188629, 77.2879905 28.6184611))","","",,0.003501,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1421398322","ODbL 1.0; © OpenStreetMap contributors","way",1421398322,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1144702710","construction","mapped_construction_area","Sarai Kale Khan RRTS Station","OSM-mapped mapped construction area used as source context.","area",28.5889412,77.2585153,"POLYGON((77.2569498 28.5916310, 77.2567888 28.5916497, 77.2567552 28.5925129, 77.2567163 28.5925576, 77.2567190 28.5925941, 77.2569309 28.5926130, 77.2571079 28.5928096, 77.2574922 28.5916876, 77.2593244 28.5864584, 77.2603144 28.5851793, 77.2597530 28.5850727, 77.2592713 28.5851327, 77.2588806 28.5860720, 77.2583267 28.5877041, 77.2580072 28.5876293, 77.2578147 28.5875842, 77.2573329 28.5881337, 77.2572912 28.5894794, 77.2571129 28.5895560, 77.2570192 28.5899529, 77.2572715 28.5899752, 77.2572457 28.5902987, 77.2568208 28.5902954, 77.2567905 28.5905685, 77.2571698 28.5909382, 77.2569498 28.5916310))","","",,0.069669,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1144702710","ODbL 1.0; © OpenStreetMap contributors","way",1144702710,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-662474418","construction","mapped_construction_area","Tajpur Ecopark","OSM-mapped mapped construction area used as source context.","area",28.4977291,77.308259,"POLYGON((77.3084360 28.4999285, 77.3094070 28.4999850, 77.3100346 28.4999756, 77.3100936 28.4996786, 77.3101473 28.4985660, 77.3098576 28.4976278, 77.3096055 28.4970197, 77.3088545 28.4966944, 77.3085755 28.4968122, 77.3084199 28.4967274, 77.3081356 28.4959401, 77.3080176 28.4956902, 77.3078996 28.4957420, 77.3078674 28.4958505, 77.3075187 28.4959636, 77.3075026 28.4962936, 77.3073900 28.4962984, 77.3069125 28.4961899, 77.3067141 28.4954733, 77.3064351 28.4954780, 77.3063707 28.4955629, 77.3071969 28.4990139, 77.3074275 28.4990092, 77.3074973 28.4992025, 77.3078138 28.4991553, 77.3077762 28.4988017, 77.3079479 28.4987876, 77.3081732 28.4994617, 77.3084468 28.4994853, 77.3084360 28.4999285))","","",,0.106932,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/662474418","ODbL 1.0; © OpenStreetMap contributors","way",662474418,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
