horizon,mae_model,mae_matched_to_persistence,n_train,n_test,rmse,mae_persistence,n_rows_evaluated,mae_improvement,mean_mae_all_horizons
1,2.645251597516999,2.565057291791485,42203,10032,4.868371612476449,2.3225158243745603,9953,-0.24254146741692484,16.09261643897853
2,4.365585690809365,4.244623456793691,42203,9998,7.31072691668863,4.313096446700508,9850,0.06847298990681772,16.09261643897853
3,6.036989877662218,5.904064185449245,42203,9964,9.510626449491419,6.145639028389874,9757,0.24157484294062836,16.09261643897853
4,7.420470430893481,7.2752854444457595,42203,9930,11.340458205324845,7.822307215216043,9674,0.5470217707702831,16.09261643897853
5,8.729226319128188,8.567606504117622,42203,9895,12.958559678334233,9.366934222870844,9593,0.7993277187532222,16.09261643897853
6,9.931110862884735,9.764232531323554,42203,9860,14.49875315569575,10.83301827347196,9522,1.0687857421484068,16.09261643897853
7,10.848219413880368,10.655479761146168,42203,9825,15.41713890749663,12.180981595092025,9454,1.5255018339458566,16.09261643897853
8,11.782623675665329,11.610461265305052,42203,9789,16.67280433072126,13.439876451166258,9389,1.8294151858612064,16.09261643897853
9,12.436695659531646,12.244388149970996,42203,9753,17.42457860357923,14.620160857908846,9325,2.37577270793785,16.09261643897853
10,13.582049956531575,13.37121071392239,42203,9717,18.814125984984457,15.757775377969764,9260,2.386564664047375,16.09261643897853
11,14.491110902685557,14.337824783023507,42203,9681,19.930255812592513,16.867493472584858,9192,2.529668689561351,16.09261643897853
12,15.158384767485519,14.974367160788642,42203,9645,20.720016052278524,17.976104351638714,9123,3.001737190850072,16.09261643897853
13,16.10747537842325,15.9493203934478,42203,9609,21.96796859615975,19.05389882924674,9054,3.10457843579894,16.09261643897853
14,17.454130080943433,17.270911630205507,42203,9573,23.452689594724504,20.109145527369822,8988,2.838233897164315,16.09261643897853
15,18.559476637569098,18.363990665585128,42203,9537,24.712779484536885,21.13511091194264,8926,2.771120246357512,16.09261643897853
16,19.711602394533717,19.488761862884726,42203,9501,26.00043928758836,22.140891144952057,8865,2.6521292820673317,16.09261643897853
17,21.893044270045635,21.64596135958338,42203,9465,28.261000614333632,23.120004541326068,8808,1.4740431817426867,16.09261643897853
18,22.03298275187806,21.70032035161467,42193,9429,28.511323301490805,24.061728395061728,8748,2.3614080434470566,16.09261643897853
19,22.62796708754549,22.37580072965321,42169,9393,29.283934305098587,24.94304452882292,8691,2.5672437991697095,16.09261643897853
20,23.8131481749653,23.59041122689296,42085,9357,30.74992168533499,25.78058387395737,8632,2.190172647064408,16.09261643897853
21,25.006285487764217,24.72983128361676,41988,9320,32.2594224585912,26.579923050017488,8577,1.8500917664007268,16.09261643897853
22,27.062429955984104,26.741613913575353,41886,9283,34.131470419559086,27.337674527748444,8523,0.5960606141730906,16.09261643897853
23,27.387352143779424,27.058200788264454,41776,9246,34.94583520627959,28.036822849049923,8473,0.9786220607854688,16.09261643897853
24,27.139181017378068,26.741785254573806,41660,9209,34.93226642337732,28.68545994065282,8425,1.9436746860790137,16.09261643897853
