station_name,mae
"Bawana, Delhi - DPCC",26.20138870338866
"NSIT Dwarka, Delhi - CPCB",24.33469192758438
"Najafgarh, Delhi - DPCC",21.37889513203429
"Alipur, Delhi - DPCC",20.60136536359113
"Dwarka-Sector 8, Delhi - DPCC ",19.72555241028486
"Wazirpur, Delhi - DPCC",19.51686050292712
"Anand Vihar, New Delhi - DPCC",19.36579109433619
"Burari Crossing, New Delhi - IMD",19.229824115027853
"Narela, Delhi - DPCC",18.758308427109302
"Rohini, Delhi - DPCC",18.523793052233156
"Patparganj, Delhi - DPCC",17.946019020736294
"Dr. Karni Singh Shooting Range, Delhi - DPCC",17.3714440681566
"Lodhi Road, New Delhi - IMD",16.597539215511755
"Shadipur, Delhi - CPCB",16.038646760133748
"Sonia Vihar, Delhi - DPCC",15.339339155173246
"Punjabi Bagh, Delhi - DPCC",15.275384037934153
"North Campus, DU, Delhi - IMD",15.274321592891118
"IHBAS, Dilshad Garden,New Delhi - CPCB",15.236465357106185
"Okhla Phase-2, Delhi - DPCC",15.071422877884668
"Ashok Vihar, Delhi - DPCC",14.877476329588475
"Jahangirpuri, Delhi - DPCC",14.823044807544672
"Mandir Marg, New Delhi - DPCC",14.806290372021685
"Pusa, Delhi - DPCC",14.493915556290306
"IGI Airport (T3), Delhi - IMD",14.339303403437533
"Sri Aurobindo Marg, Delhi - DPCC",13.775446224355237
"Nehru Nagar, Delhi - DPCC",13.733248903863855
"Jawaharlal Nehru Stadium, Delhi - DPCC",13.558886356167244
"Major Dhyan Chand National Stadium, Delhi - DPCC",13.005945497774182
"CRRI Mathura Road, New Delhi - IMD",12.702403410886012
"R K Puram, Delhi - DPCC",12.445943997533904
"Sirifort, Delhi - CPCB",12.380725921440021
"Aya Nagar, New Delhi - IMD",12.235875828854882
"Vivek Vihar, Delhi - DPCC",12.131763356062534
"Mundka, Delhi - DPCC",12.095100586847702
"ITO, New Delhi - CPCB",11.953298318598623
"DTU, New Delhi - CPCB",11.825255369670833
"Chandni Chowk, Delhi - IITM",10.741318098073425
