horizon,mae,mae_matched_to_persistence,n_train,n_test
1,2.645251597516999,2.565057291791485,42203,10032
2,4.365585690809365,4.244623456793691,42203,9998
3,6.036989877662218,5.904064185449245,42203,9964
4,7.420470430893481,7.2752854444457595,42203,9930
5,8.729226319128188,8.567606504117622,42203,9895
6,9.931110862884735,9.764232531323554,42203,9860
7,10.848219413880368,10.655479761146168,42203,9825
8,11.782623675665329,11.610461265305052,42203,9789
9,12.436695659531646,12.244388149970996,42203,9753
10,13.582049956531575,13.37121071392239,42203,9717
11,14.491110902685557,14.337824783023507,42203,9681
12,15.158384767485519,14.974367160788642,42203,9645
13,16.10747537842325,15.9493203934478,42203,9609
14,17.454130080943433,17.270911630205507,42203,9573
15,18.559476637569098,18.363990665585128,42203,9537
16,19.711602394533717,19.488761862884726,42203,9501
17,21.893044270045635,21.64596135958338,42203,9465
18,22.03298275187806,21.70032035161467,42193,9429
19,22.62796708754549,22.37580072965321,42169,9393
20,23.8131481749653,23.59041122689296,42085,9357
21,25.006285487764217,24.72983128361676,41988,9320
22,27.062429955984104,26.741613913575353,41886,9283
23,27.387352143779424,27.058200788264454,41776,9246
24,27.139181017378068,26.741785254573806,41660,9209
