horizon,mae,n_rows_evaluated
1,2.3225158243745603,9953
2,4.3130964467005075,9850
3,6.145639028389874,9757
4,7.822307215216043,9674
5,9.366934222870844,9593
6,10.833018273471959,9522
7,12.180981595092025,9454
8,13.439876451166258,9389
9,14.620160857908846,9325
10,15.757775377969763,9260
11,16.867493472584858,9192
12,17.976104351638714,9123
13,19.05389882924674,9054
14,20.109145527369826,8988
15,21.13511091194264,8926
16,22.140891144952057,8865
17,23.120004541326068,8808
18,24.061728395061728,8748
19,24.94304452882292,8691
20,25.78058387395737,8632
21,26.579923050017488,8577
22,27.337674527748444,8523
23,28.036822849049923,8473
24,28.68545994065282,8425
